A�O;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2024;3;61;13001;13;ACTIVO;AVIATUR CARTAGENA;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;34
2024;3;263;13001;13;ACTIVO;HOTEL CARTAGENA HILTON.;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;341;548;373
2024;3;305;13001;13;ACTIVO;GEMA TOURS.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES MAYORISTAS;0;0;10
2024;3;327;13001;13;ACTIVO;VIAJES COLOMBIANOS LTDA. VIESCO;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;2;405;13001;13;ACTIVO;CIRCULO DE VIAJES UNIVERSAL S.A.S.;BOLIVAR;CARTAGENA;EMPRESAS CAPTADORAS DE AHORRO PARA VIAJES;;0;0;43
2024;2;475;13001;13;ACTIVO;VIAJES CIRCULAR S.A.S.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;2
2024;3;493;13001;13;ACTIVO;HOTEL CAPILLA DEL MAR;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;206;398;135
2024;3;605;13001;13;ACTIVO;CALIENTE TOURS.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;34
2024;3;1203;13001;13;ACTIVO;CONTACTOS  ORGANIZADORES PROFESIONALES DE CONGRESOS;BOLIVAR;CARTAGENA;OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES;OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES;0;0;3
2024;3;1205;13001;13;ACTIVO;CONTACTOSLAS AMERICAS.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;2
2024;3;1209;13001;13;ACTIVO;CONTACTOS LALIANXA  BOCAGRANDE;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;13
2024;3;1217;13001;13;ACTIVO;CONTACTOS S.A.S.  SUCURSAL PEDRO DE HEREDIA;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;3;1422;13001;13;ACTIVO;GEMA TOURS.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;10
2024;3;1438;13001;13;ACTIVO;GEMA TOURS HOTEL CARTAGENA HILTON.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;1
2024;3;2212;13001;13;ACTIVO;SERVICIOS TURISTICOS Y DE FIESTAS.FIESTA TOURS.;BOLIVAR;CARTAGENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;11
2024;3;2823;13001;13;ACTIVO;CREPES Y WAFFLES CENTRO HISTORICO;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE GASTRONOMIA;RESTAURANTE;0;0;58
2024;3;3216;13001;13;ACTIVO;HOTEL DECAMERON;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;280;376;263
2024;3;3377;13001;13;ACTIVO;HOTEL LAS AMERICAS;BOLIVAR;CARTAGENA;ESTABLECIMIENTOS DE ALOJAMIENTO TURISTICO;HOTEL;530;924;566
2024;3;3380;13001;13;ACTIVO;RAFAEL ESPINOSA G Y CIA SAS OFICINA AEROPUERTO;BOLIVAR;CARTAGENA;OFICINAS DE REPRESENTACION TURISTICA;OFICINA DE REPRESENTACION TURISTICA;0;0;208
